,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure_x,Estimated Salary in € ,NumOfProducts,HasCrCard,Tenure_y,IsActiveMember,Exited,Balance in €
0,15634602,Hargrave,619,FRA,Female,42.0,2,101348.88,1,Yes,2,Yes,1,0.0
1,15647311,Hill,608,Spain,Female,41.0,1,112542.58,1,Yes,1,Yes,0,83807.86
2,15619304,Onio,502,French,Female,42.0,8,113931.57,3,No,8,No,1,159660.8
3,15701354,Boni,699,FRA,Female,39.0,1,93826.63,2,No,1,No,0,0.0
4,15737888,Mitchell,850,Spain,Female,43.0,2,79084.1,1,Yes,2,Yes,0,125510.82
5,15574012,Chu,645,Spain,Male,44.0,8,149756.71,2,No,8,No,1,113755.78
6,15592531,Bartlett,822,France,Male,50.0,7,10062.8,2,Yes,7,Yes,0,0.0
7,15656148,Obinna,376,Germany,Female,29.0,4,119346.88,4,No,4,No,1,115046.74
8,15792365,He,501,French,Male,44.0,4,74940.5,2,Yes,4,Yes,0,142051.07
9,15592389,H?,684,France,Male,27.0,2,71725.73,1,Yes,2,Yes,0,134603.88
10,15767821,Bearce,528,French,Male,31.0,6,80181.12,2,No,6,No,0,102016.72
11,15737173,Andrews,497,Spain,Male,24.0,3,76390.01,2,No,3,No,0,0.0
12,15632264,Kay,476,FRA,Female,34.0,10,26260.98,2,No,10,No,0,0.0
13,15691483,Chin,549,France,Female,25.0,5,190857.79,2,No,5,No,0,0.0
14,15600882,Scott,635,Spain,Female,35.0,7,65951.65,2,Yes,7,Yes,0,0.0
15,15643966,Goforth,616,Germany,Male,45.0,3,64327.26,2,Yes,3,Yes,0,143129.41
16,15737452,Romeo,653,Germany,Male,58.0,1,5097.67,1,No,1,No,1,132602.88
17,15788218,Henderson,549,Spain,Female,24.0,9,14406.41,2,Yes,9,Yes,0,0.0
18,15661507,Muldrow,587,Spain,Male,45.0,6,158684.81,1,No,6,No,0,0.0
19,15568982,Hao,726,French,Female,24.0,6,54724.03,2,Yes,6,Yes,0,0.0
20,15577657,McDonald,732,French,Male,41.0,8,170886.17,2,Yes,8,Yes,0,0.0
21,15597945,Dellucci,636,Spain,Female,32.0,8,138555.46,2,No,8,No,0,0.0
22,15699309,Gerasimov,510,Spain,Female,38.0,4,118913.53,1,No,4,No,1,0.0
23,15725737,Mosman,669,France,Male,46.0,3,8487.75,2,Yes,3,Yes,0,0.0
24,15625047,Yen,846,FRA,Female,38.0,5,187616.16,1,Yes,5,Yes,0,0.0
25,15738191,Maclean,577,France,Male,25.0,3,124508.29,2,Yes,3,Yes,0,0.0
26,15736816,Young,756,Germany,Male,36.0,2,170041.95,1,Yes,2,Yes,0,136815.64
27,15700772,Nebechi,571,FRA,Male,44.0,9,38433.35,2,No,9,No,0,0.0
28,15656300,Lucciano,411,French,Male,29.0,0,53483.21,2,Yes,0,Yes,0,59697.17
29,15589475,Azikiwe,591,Spain,Female,39.0,3,140469.38,3,No,3,No,1,0.0
30,15706552,Odinakachukwu,533,France,Male,36.0,7,156731.91,1,Yes,7,Yes,0,85311.7
31,15750181,Sanderson,553,Germany,Male,41.0,9,81898.81,2,No,9,No,0,110112.54
32,15659428,Maggard,520,Spain,Female,42.0,6,34410.55,2,Yes,6,Yes,0,0.0
33,15732963,Clements,722,Spain,Female,29.0,9,142033.07,2,Yes,9,Yes,0,0.0
34,15794171,Lombardo,475,France,Female,45.0,0,27822.99,1,No,0,No,1,134264.04
35,15788448,Watson,490,Spain,Male,31.0,3,114066.77,1,Yes,3,Yes,0,145260.23
36,15729599,Lorenzo,804,Spain,Male,33.0,7,98453.45,1,Yes,7,Yes,0,76548.6
37,15717426,Armstrong,850,French,Male,36.0,7,40812.9,1,Yes,7,Yes,0,0.0
38,15585768,Cameron,582,Germany,Male,41.0,6,178074.04,2,Yes,6,Yes,0,70349.48
39,15619360,Hsiao,472,Spain,Male,40.0,4,70154.22,1,No,4,No,0,0.0
40,15738148,Clarke,465,FRA,Female,51.0,8,181297.65,1,No,8,No,1,122522.32
41,15687946,Osborne,556,FRA,Female,61.0,2,94153.83,1,Yes,2,Yes,0,117419.35
42,15755196,Lavine,834,FRA,Female,49.0,2,194365.76,1,No,2,No,1,131394.56
43,15684171,Bianchi,660,Spain,Female,61.0,5,158338.39,1,Yes,5,Yes,0,155931.11
44,15754849,Tyler,776,Germany,Female,32.0,4,126517.46,2,Yes,4,Yes,0,109421.13
45,15602280,Martin,829,Germany,Female,27.0,9,119708.21,1,Yes,9,Yes,1,112045.67
46,15771573,Okagbue,637,Germany,Female,39.0,9,117622.8,1,Yes,9,Yes,1,137843.8
47,15766205,Yin,550,Germany,Male,38.0,2,90878.13,1,Yes,2,Yes,0,103391.38
48,15771873,Buccho,776,Germany,Female,37.0,2,194099.12,2,No,2,No,0,103769.22
49,15616550,Chidiebele,698,Germany,Male,44.0,10,198059.16,2,No,10,No,0,116363.37
50,15768193,Trevisani,585,Germany,Male,36.0,5,86424.57,2,No,5,No,0,146050.97
51,15683553,O'Brien,788,FRA,Female,33.0,5,116978.19,2,No,5,No,0,0.0
52,15702298,Parkhill,655,Germany,Male,41.0,8,164040.94,1,No,8,No,1,125561.97
53,15569590,Yoo,601,Germany,Male,42.0,1,40014.76,1,No,1,No,1,98495.72
54,15760861,Phillipps,619,French,Male,43.0,1,113410.49,1,Yes,1,Yes,0,125211.92
55,15630053,Tsao,656,France,Male,45.0,5,87107.57,1,No,5,No,0,127864.4
56,15647091,Endrizzi,725,Germany,Male,19.0,0,45613.75,1,No,0,No,0,75888.2
57,15623944,T'ien,511,Spain,Female,66.0,4,1643.11,1,No,4,No,1,0.0
58,15804771,Velazquez,614,FRA,Male,51.0,4,46775.28,1,Yes,4,Yes,0,40685.92
59,15651280,Hunter,742,Germany,Male,35.0,5,84509.57,1,No,5,No,0,136857.0
60,15773469,Clark,687,Germany,Female,27.0,9,126494.82,2,No,9,No,0,152328.88
61,15702014,Jeffrey,555,Spain,Male,33.0,1,178798.13,2,No,1,No,0,56084.69
62,15751208,Pirozzi,684,Spain,Male,56.0,8,99398.36,1,Yes,8,Yes,0,78707.16
63,15592461,Jackson,603,Germany,Male,26.0,4,92840.67,1,Yes,4,Yes,0,109166.37
64,15789484,Hammond,751,Germany,Female,36.0,6,27758.36,2,Yes,6,Yes,0,169831.46
65,15696061,Brownless,581,Germany,Female,34.0,1,110431.51,1,No,1,No,0,101633.04
66,15641582,Chibugo,735,Germany,Male,43.0,10,196673.28,2,Yes,10,Yes,0,123180.01
67,15638424,Glauert,661,Germany,Female,35.0,5,113656.85,2,Yes,5,Yes,0,150725.53
68,15755648,Pisano,675,FRA,Female,21.0,8,18203.0,1,No,8,No,0,98373.26
69,15703793,Konovalova,738,Germany,Male,58.0,2,28373.86,4,No,2,No,1,133745.44
70,15620344,McKee,813,France,Male,29.0,6,33953.87,1,No,6,No,0,0.0
